sku;nombre;descripcion;seller;cat_fcom;nombre_cat_fcom;estado_publicacion;precio1;precio2;precio3;precio4;tipo_precio1;tipo_precio2;fcom_url;fecha_publicacion;origen;jl1;jl1_nombre;jl2;jl2_nombre;jl3;jl3_nombre;mkp_nombre
6674591;MK Audífono Awei Es-q3 Stereo Cable 3.5 Mm 94201 P;Audífono Awei Es-q3 Stereo Cable 3.5 Mm 94201 P;Fernapet;cat1640004;In-Ear;Publicado;;;  4990.0;;NORMAL;;http://falabella.scene7.com/is/image/Falabella/6674591_1?$producto308$;23/08/2018 22:05;Market Place;J11;ELECTRO HOGAR;J1114;ACCESORIOS;J111401;ACCESORIOS AUDIO;MK Audífono Awei Es-q3 Stereo Cable 3.5 Mm 94201 P
6674590;MK Audífono Awei Es-q3 Stereo Cable 3.5 Mm 94201 A;Audífono Awei Es-q3 Stereo Cable 3.5 Mm 94201 A;Fernapet;cat1640004;In-Ear;Publicado;;;  4990.0;;NORMAL;;http://falabella.scene7.com/is/image/Falabella/6674590_1?$producto308$;23/08/2018 22:06;Market Place;J11;ELECTRO HOGAR;J1114;ACCESORIOS;J111401;ACCESORIOS AUDIO;MK Audífono Awei Es-q3 Stereo Cable 3.5 Mm 94201 A
6674592;MK Audífono Awei Es-q3 Stereo Cable 3.5 Mm 94201 N;Audífono Awei Es-q3 Stereo Cable 3.5 Mm 94201 N;Fernapet;cat1640004;In-Ear;Publicado;;;  4990.0;;NORMAL;;http://falabella.scene7.com/is/image/Falabella/6674592_1?$producto308$;23/08/2018 22:04;Market Place;J11;ELECTRO HOGAR;J1114;ACCESORIOS;J111401;ACCESORIOS AUDIO;MK Audífono Awei Es-q3 Stereo Cable 3.5 Mm 94201 N
6674586;MK Audífono Manos Libres Awei Es900i 94203 T;Audífono Manos Libres Awei Es900i 94203 T;Fernapet;cat1820034;Manos Libres;Publicado;;;7990.0;;NORMAL;;http://falabella.scene7.com/is/image/Falabella/6674586_1?$producto308$;23/08/2018 22:07;Market Place;J11;ELECTRO HOGAR;J1114;ACCESORIOS;J111401;ACCESORIOS AUDIO;MK Audífono Manos Libres Awei Es900i 94203 T
6674585;MK Audífono Manos Libres Awei Es900i 94203 D;Audífono Manos Libres Awei Es900i 94203 D;Fernapet;cat1820034;Manos Libres;Publicado;;;7990.0;;NORMAL;;http://falabella.scene7.com/is/image/Falabella/6674585_1?$producto308$;23/08/2018 22:07;Market Place;J11;ELECTRO HOGAR;J1114;ACCESORIOS;J111401;ACCESORIOS AUDIO;MK Audífono Manos Libres Awei Es900i 94203 D
6674584;MK Audífono Manos Libres Awei Es900i 94203 M;Audífono Manos Libres Awei Es900i 94203 M;Fernapet;cat1820034;Manos Libres;Publicado;;;7990.0;;NORMAL;;http://falabella.scene7.com/is/image/Falabella/6674584_1?$producto308$;23/08/2018 22:08;Market Place;J11;ELECTRO HOGAR;J1114;ACCESORIOS;J111401;ACCESORIOS AUDIO;MK Audífono Manos Libres Awei Es900i 94203 M
6668886;MK Toalla Sanitaria Mascotas 100 Pcs 33x45 Cm 3493;Toalla Sanitaria Mascotas 100 Pcs 33x45 Cm 34934;Fernapet;cat9360001;Mundo Mascotas;Publicado;;    35990.0;;NORMAL;;http://falabella.scene7.com/is/image/Falabella/6668886_1?$producto308$;21/08/2018 00:34;Market Place;J17;REGALOS;J1701;REGALERIA;J170108;ADORNOS;MK Toalla Sanitaria Mascotas 100 Pcs 33x45 Cm 3493
6668862;MK Espejo Joyero Organizador Madera Mdp 11440;Espejo Joyero Organizador Madera Mdp 11440;Fernapet;cat6510008;Adornos;Publicado;;      49990.0;;NORMAL;;http://falabella.scene7.com/is/image/Falabella/6668862_1?$producto308$;21/08/2018 00:28;Market Place;J17;REGALOS;J1701;REGALERIA;J170109;FUNCIONALES;MK Espejo Joyero Organizador Madera Mdp 11440
6668864;MK Audífono Magnético Awei A921bl Inalambrico 9421;Audífono Magnético Awei A921bl Inalambrico 94214 N;Fernapet;cat7690003;Audifonos Bluetooth;Publicado;;      18990.0;;NORMAL;;http://falabella.scene7.com/is/image/Falabella/6668864_1?$producto308$;21/08/2018 00:29;Market Place;J11;ELECTRO HOGAR;J1114;ACCESORIOS;J111401;ACCESORIOS AUDIO;MK Audífono Magnético Awei A921bl Inalambrico 9421
6668865;MK Audífono Magnético Awei A921bl Inalambrico 9421;Audífono Magnético Awei A921bl Inalambrico 94214 A;Fernapet;cat7690003;Audifonos Bluetooth;Publicado;;      18990.0;;NORMAL;;http://falabella.scene7.com/is/image/Falabella/6668865_1?$producto308$;21/08/2018 00:30;Market Place;J11;ELECTRO HOGAR;J1114;ACCESORIOS;J111401;ACCESORIOS AUDIO;MK Audífono Magnético Awei A921bl Inalambrico 9421
